,Ticker
0,STEM
1,PLTR
2,TSLA
3,X
4,HOOD
5,ADGI
6,OCGN
7,GME
8,MSFT
9,FB
10,PROG
11,AMC
12,SU
13,SAND
14,NVDA
15,CRSR
16,SPCE
17,UWMC
18,BBBY
19,PLUG
20,ENPH
21,QS
22,MP
23,DIS
24,DKNG
25,RPAY
26,ZOM
27,ZM
28,DQ
29,RUN
30,MRNA
31,NVAX
32,AMD
33,TWTR
34,FSLR
35,RIDE
36,WKHS
37,NKLA
38,BLNK
39,XPEV
40,LI
41,F
42,ABNB
43,NIO
44,SQ
45,COIN
46,DASH
47,SNOW
48,SPY
